FAM_PROF;COD_C;DEN_C;NIVEL;COD_ECP;DEN_ECP
Actividades Físicas y Deportivas;AFD_C_001_3B;Auxiliar de operaciones en la organización de actividades y funcionamiento de instalaciones deportivas;1;UC1631_1;Asistir a los usuarios en la instalación deportiva
Actividades Físicas y Deportivas;AFD_C_001_3B;Auxiliar de operaciones en la organización de actividades y funcionamiento de instalaciones deportivas;1;UC1632_1;Preparar la instalación deportiva para el desarrollo de las actividades
Actividades Físicas y Deportivas;AFD_C_001_3B;Auxiliar de operaciones en la organización de actividades y funcionamiento de instalaciones deportivas;1;UC1633_1;Desarrollar operaciones auxiliares preventivas y de inicio de la asistencia en caso de emergencia en la instalación deportiva
Actividades Físicas y Deportivas;AFD_C_002_3B;Auxiliar de servicios administrativos y generales;1;UC0969_1;Realizar operaciones auxiliares administrativas
Actividades Físicas y Deportivas;AFD_C_002_3B;Auxiliar de servicios administrativos y generales;1;UC0970_1;Realizar operaciones auxiliares de transmisión y recepción de información operativa
Actividades Físicas y Deportivas;AFD_C_002_3B;Auxiliar de servicios administrativos y generales;1;UC0971_1;Realizar operaciones auxiliares de reproducción y archivo
Actividades Físicas y Deportivas;AFD_C_002_3B;Auxiliar de servicios administrativos y generales;1;UC1329_1;Proporcionar atención e información operativa, estructurada y protocolarizada al cliente
Actividades Físicas y Deportivas;AFDA0511;Operaciones auxiliares en la organización de actividades y funcionamiento de instalaciones deportivas;1;UC1631_1;Realizar operaciones auxiliares de control de acceso y circulación en la instalación deportiva y asistir a los usuarios en el uso de la misma
Actividades Físicas y Deportivas;AFDA0511;Operaciones auxiliares en la organización de actividades y funcionamiento de instalaciones deportivas;1;UC1632_1;Realizar la asistencia operativa a los técnicos deportivos durante el desarrollo de sus actividades en instalaciones deportivas
Actividades Físicas y Deportivas;AFDA0511;Operaciones auxiliares en la organización de actividades y funcionamiento de instalaciones deportivas;1;UC1633_1;Realizar operaciones preventivas para mejorar la seguridad en la instalación deportiva e iniciar la asistencia en caso de emergencia
Actividades Físicas y Deportivas;AFD_C_001_4B;Cuidados, manejo y cría de caballos;2;UC0719_2;Alimentar y realizar el manejo general y los primeros auxilios al ganado equino
Actividades Físicas y Deportivas;AFD_C_001_4B;Cuidados, manejo y cría de caballos;2;UC0720_2;Efectuar la higiene, cuidados y mantenimiento físico del ganado equino
Actividades Físicas y Deportivas;AFD_C_001_4B;Cuidados, manejo y cría de caballos;2;UC0721_2;Realizar el manejo del ganado equino durante su reproducción y recría
Actividades Físicas y Deportivas;AFD_C_001_4B;Cuidados, manejo y cría de caballos;2;UC1136_2;Realizar las operaciones auxiliares de preparación y acabado del herrado de equinos
Actividades Físicas y Deportivas;AFD_C_002_4B;Adiestramiento, doma, monta y exhibición de caballos;2;UC0722_2;Preparar y acondicionar el ganado equino para su presentación en exhibiciones y concursos
Actividades Físicas y Deportivas;AFD_C_002_4B;Adiestramiento, doma, monta y exhibición de caballos;2;UC1080_2;Dominar las técnicas básicas de monta a caballo
Actividades Físicas y Deportivas;AFD_C_002_4B;Adiestramiento, doma, monta y exhibición de caballos;2;UC1122_2;Desbravar potros
Actividades Físicas y Deportivas;AFD_C_002_4B;Adiestramiento, doma, monta y exhibición de caballos;2;UC1123_2;Domar potros a la cuerda
Actividades Físicas y Deportivas;AFD_C_002_4B;Adiestramiento, doma, monta y exhibición de caballos;2;UC1124_2;Realizar la monta inicial de potros
Actividades Físicas y Deportivas;AFD_C_003_4B;Guía ecuestre en el medio natural;2;UC1079_2;Determinar y organizar itinerarios a caballo por terrenos variados
Actividades Físicas y Deportivas;AFD_C_003_4B;Guía ecuestre en el medio natural;2;UC1080_2;Dominar las técnicas básicas de monta a caballo
Actividades Físicas y Deportivas;AFD_C_003_4B;Guía ecuestre en el medio natural;2;UC1081_2;Guiar y dinamizar a personas por itinerarios a caballo
Actividades Físicas y Deportivas;AFD_C_004_4B;Guía de baja y media montaña, ocio y aventura en el medio natural;2;UC0272_2;Asistir como primer interviniente en caso de accidente o situación de emergencia
Actividades Físicas y Deportivas;AFD_C_004_4B;Guía de baja y media montaña, ocio y aventura en el medio natural;2;UC0353_2;Organizar itinerarios de bicicleta y vehículos de movilidad personal para su ejecución por zonas urbanas, rurales y naturales hasta media montaña
Actividades Físicas y Deportivas;AFD_C_004_4B;Guía de baja y media montaña, ocio y aventura en el medio natural;2;UC0505_2;Plantear itinerarios por baja, media montaña y terreno nevado tipo nórdico
Actividades Físicas y Deportivas;AFD_C_004_4B;Guía de baja y media montaña, ocio y aventura en el medio natural;2;UC0506_2;Ejecutar las técnicas de progresión en baja, media montaña y terreno nevado tipo nórdico
Actividades Físicas y Deportivas;AFD_C_004_4B;Guía de baja y media montaña, ocio y aventura en el medio natural;2;UC0507_2;Conducir a participantes por itinerarios de baja, media montaña y terreno nevado tipo nórdico
Actividades Físicas y Deportivas;AFD_C_004_4B;Guía de baja y media montaña, ocio y aventura en el medio natural;2;UC0508_2;Conducir bicicletas y vehículos de movilidad personal por zonas urbanas, rurales y naturales hasta media montaña
Actividades Físicas y Deportivas;AFD_C_004_4B;Guía de baja y media montaña, ocio y aventura en el medio natural;2;UC0509_2;Dinamizar a participantes en bicicleta y en vehículos de movilidad personal por itinerarios urbanos, rurales y naturales hasta media montaña
Actividades Físicas y Deportivas;AFD_C_004_4B;Guía de baja y media montaña, ocio y aventura en el medio natural;2;UC1079_2;Determinar y organizar itinerarios a caballo por terrenos variados
Actividades Físicas y Deportivas;AFD_C_004_4B;Guía de baja y media montaña, ocio y aventura en el medio natural;2;UC1081_2;Guiar y dinamizar a personas por itinerarios a caballo
Actividades Físicas y Deportivas;AFD_C_004_4B;Guía de baja y media montaña, ocio y aventura en el medio natural;2;UC1082_2;Prevenir accidentes o situaciones de emergencia en espacios acuáticos naturales
Actividades Físicas y Deportivas;AFD_C_004_4B;Guía de baja y media montaña, ocio y aventura en el medio natural;2;UC1083_2;Rescatar a personas en caso de accidente o situaciones de emergencia en espacios acuáticos naturales
Actividades Físicas y Deportivas;AFD_C_004_4B;Guía de baja y media montaña, ocio y aventura en el medio natural;2;UC1866_2;Dinamizar actividades en el tiempo libre educativo y en otros ámbitos de la educación no formal
Actividades Físicas y Deportivas;AFD_C_004_4B;Guía de baja y media montaña, ocio y aventura en el medio natural;2;UC1867_2;Intervenir en procesos grupales en el marco del tiempo libre educativo y otros ámbitos de la educación no formal
Actividades Físicas y Deportivas;AFD_C_004_4B;Guía de baja y media montaña, ocio y aventura en el medio natural;2;UC1868_2;Aplicar técnicas y recursos educativos de animación en el tiempo libre y otros ámbitos de la educación no formal
Actividades Físicas y Deportivas;AFD_C_005_4B;Guía de bicicleta en el medio natural;2;UC0272_2;Asistir como primer interviniente en caso de accidente o situación de emergencia
Actividades Físicas y Deportivas;AFD_C_005_4B;Guía de bicicleta en el medio natural;2;UC0353_2;Organizar itinerarios de bicicleta y vehículos de movilidad personal para su ejecución por zonas urbanas, rurales y naturales hasta media montaña
Actividades Físicas y Deportivas;AFD_C_005_4B;Guía de bicicleta en el medio natural;2;UC0505_2;Plantear itinerarios por baja, media montaña y terreno nevado tipo nórdico
Actividades Físicas y Deportivas;AFD_C_005_4B;Guía de bicicleta en el medio natural;2;UC0506_2;Ejecutar las técnicas de progresión en baja, media montaña y terreno nevado tipo nórdico
Actividades Físicas y Deportivas;AFD_C_005_4B;Guía de bicicleta en el medio natural;2;UC0507_2;Conducir a participantes por itinerarios de baja, media montaña y terreno nevado tipo nórdico
Actividades Físicas y Deportivas;AFD_C_005_4B;Guía de bicicleta en el medio natural;2;UC0508_2;Conducir bicicletas y vehículos de movilidad personal por zonas urbanas, rurales y naturales hasta media montaña
Actividades Físicas y Deportivas;AFD_C_005_4B;Guía de bicicleta en el medio natural;2;UC0509_2;Dinamizar a participantes en bicicleta y en vehículos de movilidad personal por itinerarios urbanos, rurales y naturales hasta media montaña
Actividades Físicas y Deportivas;AFD_C_005_4B;Guía de bicicleta en el medio natural;2;UC1079_2;Determinar y organizar itinerarios a caballo por terrenos variados
Actividades Físicas y Deportivas;AFD_C_005_4B;Guía de bicicleta en el medio natural;2;UC1081_2;Guiar y dinamizar a personas por itinerarios a caballo
Actividades Físicas y Deportivas;AFD_C_005_4B;Guía de bicicleta en el medio natural;2;UC1082_2;Prevenir accidentes o situaciones de emergencia en espacios acuáticos naturales
Actividades Físicas y Deportivas;AFD_C_005_4B;Guía de bicicleta en el medio natural;2;UC1083_2;Rescatar a personas en caso de accidente o situaciones de emergencia en espacios acuáticos naturales
Actividades Físicas y Deportivas;AFD_C_005_4B;Guía de bicicleta en el medio natural;2;UC1866_2;Dinamizar actividades en el tiempo libre educativo y en otros ámbitos de la educación no formal
Actividades Físicas y Deportivas;AFD_C_005_4B;Guía de bicicleta en el medio natural;2;UC1867_2;Intervenir en procesos grupales en el marco del tiempo libre educativo y otros ámbitos de la educación no formal
Actividades Físicas y Deportivas;AFD_C_005_4B;Guía de bicicleta en el medio natural;2;UC1868_2;Aplicar técnicas y recursos educativos de animación en el tiempo libre y otros ámbitos de la educación no formal
Actividades Físicas y Deportivas;AFD_C_006_4B;Guía de actividades en el medio acuático;2;UC0269_2;Ejecutar técnicas específicas de natación con eficacia y seguridad
Actividades Físicas y Deportivas;AFD_C_006_4B;Guía de actividades en el medio acuático;2;UC0272_2;Asistir como primer interviniente en caso de accidente o situación de emergencia
Actividades Físicas y Deportivas;AFD_C_006_4B;Guía de actividades en el medio acuático;2;UC0353_2;Organizar itinerarios de bicicleta y vehículos de movilidad personal para su ejecución por zonas urbanas, rurales y naturales hasta media montaña
Actividades Físicas y Deportivas;AFD_C_006_4B;Guía de actividades en el medio acuático;2;UC0505_2;Plantear itinerarios por baja, media montaña y terreno nevado tipo nórdico
Actividades Físicas y Deportivas;AFD_C_006_4B;Guía de actividades en el medio acuático;2;UC0506_2;Ejecutar las técnicas de progresión en baja, media montaña y terreno nevado tipo nórdico
Actividades Físicas y Deportivas;AFD_C_006_4B;Guía de actividades en el medio acuático;2;UC0507_2;Conducir a participantes por itinerarios de baja, media montaña y terreno nevado tipo nórdico
Actividades Físicas y Deportivas;AFD_C_006_4B;Guía de actividades en el medio acuático;2;UC0508_2;Conducir bicicletas y vehículos de movilidad personal por zonas urbanas, rurales y naturales hasta media montaña
Actividades Físicas y Deportivas;AFD_C_006_4B;Guía de actividades en el medio acuático;2;UC0509_2;Dinamizar a participantes en bicicleta y en vehículos de movilidad personal por itinerarios urbanos, rurales y naturales hasta media montaña
Actividades Físicas y Deportivas;AFD_C_006_4B;Guía de actividades en el medio acuático;2;UC1079_2;Determinar y organizar itinerarios a caballo por terrenos variados
Actividades Físicas y Deportivas;AFD_C_006_4B;Guía de actividades en el medio acuático;2;UC1081_2;Guiar y dinamizar a personas por itinerarios a caballo
Actividades Físicas y Deportivas;AFD_C_006_4B;Guía de actividades en el medio acuático;2;UC1082_2;Prevenir accidentes o situaciones de emergencia en espacios acuáticos naturales
Actividades Físicas y Deportivas;AFD_C_006_4B;Guía de actividades en el medio acuático;2;UC1083_2;Rescatar a personas en caso de accidente o situaciones de emergencia en espacios acuáticos naturales
Actividades Físicas y Deportivas;AFD_C_006_4B;Guía de actividades en el medio acuático;2;UC1866_2;Dinamizar actividades en el tiempo libre educativo y en otros ámbitos de la educación no formal
Actividades Físicas y Deportivas;AFD_C_006_4B;Guía de actividades en el medio acuático;2;UC1867_2;Intervenir en procesos grupales en el marco del tiempo libre educativo y otros ámbitos de la educación no formal
Actividades Físicas y Deportivas;AFD_C_006_4B;Guía de actividades en el medio acuático;2;UC1868_2;Aplicar técnicas y recursos educativos de animación en el tiempo libre y otros ámbitos de la educación no formal
Actividades Físicas y Deportivas;AFDA0109;Guía por itinerarios en bicicleta;2;UC0272_2;ASISTIR COMO PRIMER INTERVINIENTE EN CASO DE ACCIDENTE O SITUACIÓN DE EMERGENCIA
Actividades Físicas y Deportivas;AFDA0109;Guía por itinerarios en bicicleta;2;UC0353_2;Determinar y organizar itinerarios en bicicleta  por terrenos variados hasta media montaña
Actividades Físicas y Deportivas;AFDA0109;Guía por itinerarios en bicicleta;2;UC0353_2;Determinar y organizar itinerarios en bicicleta  por terrenos variados hasta media montaña
Actividades Físicas y Deportivas;AFDA0109;Guía por itinerarios en bicicleta;2;UC0353_2;Determinar y organizar itinerarios en bicicleta  por terrenos variados hasta media montaña
Actividades Físicas y Deportivas;AFDA0109;Guía por itinerarios en bicicleta;2;UC0508_2;Conducir bicicletas con eficacia y seguridad por terrenos variados hasta media montaña y realizar el mantenimiento operativo de bicicletas
Actividades Físicas y Deportivas;AFDA0109;Guía por itinerarios en bicicleta;2;UC0508_2;Conducir bicicletas con eficacia y seguridad por terrenos variados hasta media montaña y realizar el mantenimiento operativo de bicicletas
Actividades Físicas y Deportivas;AFDA0109;Guía por itinerarios en bicicleta;2;UC0508_2;Conducir bicicletas con eficacia y seguridad por terrenos variados hasta media montaña y realizar el mantenimiento operativo de bicicletas
Actividades Físicas y Deportivas;AFDA0109;Guía por itinerarios en bicicleta;2;UC0509_2;Guiar y dinamizar a personas por itinerarios en bicicleta hasta media montaña
Actividades Físicas y Deportivas;AFDA0109;Guía por itinerarios en bicicleta;2;UC0509_2;Guiar y dinamizar a personas por itinerarios en bicicleta hasta media montaña
Actividades Físicas y Deportivas;AFDA0112;Guía por barrancos secos o acuáticos;2;UC0272_2;ASISTIR COMO PRIMER INTERVINIENTE EN CASO DE ACCIDENTE O SITUACIÓN DE EMERGENCIA
Actividades Físicas y Deportivas;AFDA0112;Guía por barrancos secos o acuáticos;2;UC1076_2;Elaborar recorridos por barrancos
Actividades Físicas y Deportivas;AFDA0112;Guía por barrancos secos o acuáticos;2;UC1076_2;Elaborar recorridos por barrancos
Actividades Físicas y Deportivas;AFDA0112;Guía por barrancos secos o acuáticos;2;UC1076_2;Elaborar recorridos por barrancos
Actividades Físicas y Deportivas;AFDA0112;Guía por barrancos secos o acuáticos;2;UC1077_2;Progresar con eficacia y seguridad por barrancos de cualquier tipología y dificultad
Actividades Físicas y Deportivas;AFDA0112;Guía por barrancos secos o acuáticos;2;UC1077_2;Progresar con eficacia y seguridad por barrancos de cualquier tipología y dificultad
Actividades Físicas y Deportivas;AFDA0112;Guía por barrancos secos o acuáticos;2;UC1077_2;Progresar con eficacia y seguridad por barrancos de cualquier tipología y dificultad
Actividades Físicas y Deportivas;AFDA0112;Guía por barrancos secos o acuáticos;2;UC1078_2;Guiar y dinamizar a personas por itinerarios de barrancos
Actividades Físicas y Deportivas;AFDA0112;Guía por barrancos secos o acuáticos;2;UC1078_2;Guiar y dinamizar a personas por itinerarios de barrancos
Actividades Físicas y Deportivas;AFDA0112;Guía por barrancos secos o acuáticos;2;UC1078_2;Guiar y dinamizar a personas por itinerarios de barrancos
Actividades Físicas y Deportivas;AFDA0119_2;Dinamización de actividades recreativas en parques de aventuras en altura;2;UC0272_2;ASISTIR COMO PRIMER INTERVINIENTE EN CASO DE ACCIDENTE O SITUACIÓN DE EMERGENCIA
Actividades Físicas y Deportivas;AFDA0119_2;Dinamización de actividades recreativas en parques de aventuras en altura;2;UC2266_2;Acoger a los usuarios en parques de aventura en altura
Actividades Físicas y Deportivas;AFDA0119_2;Dinamización de actividades recreativas en parques de aventuras en altura;2;UC2267_2;Dirigir a los usuarios en los desplazamientos con progresión horizontal y vertical en parques de aventura en altura
Actividades Físicas y Deportivas;AFDA0119_2;Dinamización de actividades recreativas en parques de aventuras en altura;2;UC2268_2;Velar por la integridad de los usuarios en actividades recreativas en parques de aventura en altura
Actividades Físicas y Deportivas;AFDA0209;Guía por itinerarios ecuestres en el medio natural;2;UC0272_2;ASISTIR COMO PRIMER INTERVINIENTE EN CASO DE ACCIDENTE O SITUACIÓN DE EMERGENCIA
Actividades Físicas y Deportivas;AFDA0209;Guía por itinerarios ecuestres en el medio natural;2;UC0719_2;ALIMENTAR Y REALIZAR EL MANEJO GENERAL Y LOS PRIMEROS AUXILIOS AL GANADO EQUINO
Actividades Físicas y Deportivas;AFDA0209;Guía por itinerarios ecuestres en el medio natural;2;UC1079_2;Determinar y organizar itinerarios a caballo por terrenos variados
Actividades Físicas y Deportivas;AFDA0209;Guía por itinerarios ecuestres en el medio natural;2;UC1079_2;Determinar y organizar itinerarios a caballo por terrenos variados
Actividades Físicas y Deportivas;AFDA0209;Guía por itinerarios ecuestres en el medio natural;2;UC1079_2;Determinar y organizar itinerarios a caballo por terrenos variados
Actividades Físicas y Deportivas;AFDA0209;Guía por itinerarios ecuestres en el medio natural;2;UC1080_2;DOMINAR LAS TÉCNICAS BÁSICAS DE MONTA A CABALLO
Actividades Físicas y Deportivas;AFDA0209;Guía por itinerarios ecuestres en el medio natural;2;UC1080_2;DOMINAR LAS TÉCNICAS BÁSICAS DE MONTA A CABALLO
Actividades Físicas y Deportivas;AFDA0209;Guía por itinerarios ecuestres en el medio natural;2;UC1080_2;DOMINAR LAS TÉCNICAS BÁSICAS DE MONTA A CABALLO
Actividades Físicas y Deportivas;AFDA0209;Guía por itinerarios ecuestres en el medio natural;2;UC1081_2;Guiar y dinamizar a personas por itinerarios a caballo
Actividades Físicas y Deportivas;AFDA0209;Guía por itinerarios ecuestres en el medio natural;2;UC1081_2;Guiar y dinamizar a personas por itinerarios a caballo
Actividades Físicas y Deportivas;AFDA0209;Guía por itinerarios ecuestres en el medio natural;2;UC1081_2;Guiar y dinamizar a personas por itinerarios a caballo
Actividades Físicas y Deportivas;AFDA0212;Guía de espeleología;2;UC0272_2;ASISTIR COMO PRIMER INTERVINIENTE EN CASO DE ACCIDENTE O SITUACIÓN DE EMERGENCIA
Actividades Físicas y Deportivas;AFDA0212;Guía de espeleología;2;UC1640_2;PROGRESAR CON SEGURIDAD EN CAVIDADES Y TRAVESÍAS DE CLASE CUATRO DE DIFICULTAD SIN CURSO HÍDRICO ACTIVO
Actividades Físicas y Deportivas;AFDA0212;Guía de espeleología;2;UC1640_2;PROGRESAR CON SEGURIDAD EN CAVIDADES Y TRAVESÍAS DE CLASE CUATRO DE DIFICULTAD SIN CURSO HÍDRICO ACTIVO
Actividades Físicas y Deportivas;AFDA0212;Guía de espeleología;2;UC1641_2;Progresar con seguridad en cavidades y travesías de clase cinco de dificultad con curso hídrico activo
Actividades Físicas y Deportivas;AFDA0212;Guía de espeleología;2;UC1642_2;Elaborar recorridos por cavidades subterráneas de hasta clase cinco
Actividades Físicas y Deportivas;AFDA0212;Guía de espeleología;2;UC1642_2;Elaborar recorridos por cavidades subterráneas de hasta clase cinco
Actividades Físicas y Deportivas;AFDA0212;Guía de espeleología;2;UC1642_2;Elaborar recorridos por cavidades subterráneas de hasta clase cinco
Actividades Físicas y Deportivas;AFDA0212;Guía de espeleología;2;UC1643_2;Guiar y dinamizar a personas por itinerarios de espeleología
Actividades Físicas y Deportivas;AFDA0212;Guía de espeleología;2;UC1643_2;Guiar y dinamizar a personas por itinerarios de espeleología
Actividades Físicas y Deportivas;AFDA0212;Guía de espeleología;2;UC1643_2;Guiar y dinamizar a personas por itinerarios de espeleología
Actividades Físicas y Deportivas;AFDA0611;Guía por itinerarios de baja y media montaña;2;UC0272_2;ASISTIR COMO PRIMER INTERVINIENTE EN CASO DE ACCIDENTE O SITUACIÓN DE EMERGENCIA
Actividades Físicas y Deportivas;AFDA0611;Guía por itinerarios de baja y media montaña;2;UC0505_2;Determinar y organizar itinerarios por baja y media montaña
Actividades Físicas y Deportivas;AFDA0611;Guía por itinerarios de baja y media montaña;2;UC0505_2;Determinar y organizar itinerarios por baja y media montaña
Actividades Físicas y Deportivas;AFDA0611;Guía por itinerarios de baja y media montaña;2;UC0505_2;Determinar y organizar itinerarios por baja y media montaña
Actividades Físicas y Deportivas;AFDA0611;Guía por itinerarios de baja y media montaña;2;UC0506_2;Progresar con eficacia y seguridad por terreno de baja y media montaña y terreno nevado de tipo nórdico
Actividades Físicas y Deportivas;AFDA0611;Guía por itinerarios de baja y media montaña;2;UC0506_2;Progresar con eficacia y seguridad por terreno de baja y media montaña y terreno nevado de tipo nórdico
Actividades Físicas y Deportivas;AFDA0611;Guía por itinerarios de baja y media montaña;2;UC0506_2;Progresar con eficacia y seguridad por terreno de baja y media montaña y terreno nevado de tipo nórdico
Actividades Físicas y Deportivas;AFDA0611;Guía por itinerarios de baja y media montaña;2;UC0507_2;Guiar y dinamizar a personas por itinerarios de baja y media montaña y terreno nevado de tipo nórdico
Actividades Físicas y Deportivas;AFDA0611;Guía por itinerarios de baja y media montaña;2;UC0507_2;Guiar y dinamizar a personas por itinerarios de baja y media montaña y terreno nevado de tipo nórdico
Actividades Físicas y Deportivas;AFDA0611;Guía por itinerarios de baja y media montaña;2;UC0507_2;Guiar y dinamizar a personas por itinerarios de baja y media montaña y terreno nevado de tipo nórdico
Actividades Físicas y Deportivas;AFDP0109;Socorrismo en instalaciones acuáticas;2;UC0269_2;EJECUTAR TÉCNICAS ESPECÍFICAS DE NATACIÓN CON EFICACIA Y SEGURIDAD
Actividades Físicas y Deportivas;AFDP0109;Socorrismo en instalaciones acuáticas;2;UC0269_2;EJECUTAR TÉCNICAS ESPECÍFICAS DE NATACIÓN CON EFICACIA Y SEGURIDAD
Actividades Físicas y Deportivas;AFDP0109;Socorrismo en instalaciones acuáticas;2;UC0270_2;Prevenir accidentes o situaciones de emergencia en instalaciones acuáticas, velando por la seguridad de los usuarios
Actividades Físicas y Deportivas;AFDP0109;Socorrismo en instalaciones acuáticas;2;UC0271_2;RESCATAR PERSONAS EN CASO DE ACCIDENTE O SITUACIÓN DE EMERGENCIA EN INSTALACIONES ACUÁTICAS
Actividades Físicas y Deportivas;AFDP0109;Socorrismo en instalaciones acuáticas;2;UC0272_2;ASISTIR COMO PRIMER INTERVINIENTE EN CASO DE ACCIDENTE O SITUACIÓN DE EMERGENCIA
Actividades Físicas y Deportivas;AFDP0111;Balizamiento de pistas, señalización y socorrismo en espacios esquiables;2;UC0272_2;ASISTIR COMO PRIMER INTERVINIENTE EN CASO DE ACCIDENTE O SITUACIÓN DE EMERGENCIA
Actividades Físicas y Deportivas;AFDP0111;Balizamiento de pistas, señalización y socorrismo en espacios esquiables;2;UC1634_2;Desplazarse por el medio nevado ejecutando técnicas de esquí alpino para prevenir accidentes y rescatar víctimas en espacios esquiables
Actividades Físicas y Deportivas;AFDP0111;Balizamiento de pistas, señalización y socorrismo en espacios esquiables;2;UC1634_2;Desplazarse por el medio nevado ejecutando técnicas de esquí alpino para prevenir accidentes y rescatar víctimas en espacios esquiables
Actividades Físicas y Deportivas;AFDP0111;Balizamiento de pistas, señalización y socorrismo en espacios esquiables;2;UC1635_2;Prevenir accidentes y situaciones de riesgo en dominios esquiables
Actividades Físicas y Deportivas;AFDP0111;Balizamiento de pistas, señalización y socorrismo en espacios esquiables;2;UC1636_2;Rescatar accidentados en espacios esquiables, en transportes mecánicos por cable y en avalanchas
Actividades Físicas y Deportivas;AFDP0111;Balizamiento de pistas, señalización y socorrismo en espacios esquiables;2;UC1636_2;Rescatar accidentados en espacios esquiables, en transportes mecánicos por cable y en avalanchas
Actividades Físicas y Deportivas;AFDP0209;Socorrismo en espacios acuáticos naturales;2;UC0269_2;EJECUTAR TÉCNICAS ESPECÍFICAS DE NATACIÓN CON EFICACIA Y SEGURIDAD
Actividades Físicas y Deportivas;AFDP0209;Socorrismo en espacios acuáticos naturales;2;UC0269_2;EJECUTAR TÉCNICAS ESPECÍFICAS DE NATACIÓN CON EFICACIA Y SEGURIDAD
Actividades Físicas y Deportivas;AFDP0209;Socorrismo en espacios acuáticos naturales;2;UC0272_2;ASISTIR COMO PRIMER INTERVINIENTE EN CASO DE ACCIDENTE O SITUACIÓN DE EMERGENCIA
Actividades Físicas y Deportivas;AFDP0209;Socorrismo en espacios acuáticos naturales;2;UC1082_2;Prevenir accidentes o situaciones de emergencia en espacios acuáticos naturales
Actividades Físicas y Deportivas;AFDP0209;Socorrismo en espacios acuáticos naturales;2;UC1083_2;Rescatar a personas en caso de accidente o situaciones de emergencia en espacios acuáticos naturales
Actividades Físicas y Deportivas;AFDP0209;Socorrismo en espacios acuáticos naturales;2;UC1083_2;Rescatar a personas en caso de accidente o situaciones de emergencia en espacios acuáticos naturales
Actividades Físicas y Deportivas;AFDA0110;Acondicionamiento físico en grupo con soporte musical;3;UC0272_2;ASISTIR COMO PRIMER INTERVINIENTE EN CASO DE ACCIDENTE O SITUACIÓN DE EMERGENCIA
Actividades Físicas y Deportivas;AFDA0110;Acondicionamiento físico en grupo con soporte musical;3;UC0273_3;DETERMINAR LA CONDICIÓN FÍSICA, BIOLÓGICA Y MOTIVACIONAL DEL USUARIO
Actividades Físicas y Deportivas;AFDA0110;Acondicionamiento físico en grupo con soporte musical;3;UC0273_3;DETERMINAR LA CONDICIÓN FÍSICA, BIOLÓGICA Y MOTIVACIONAL DEL USUARIO
Actividades Físicas y Deportivas;AFDA0110;Acondicionamiento físico en grupo con soporte musical;3;UC0515_3;Diseñar y ejecutar coreografías con los elementos propios del aeróbic, sus variantes y actividades afines
Actividades Físicas y Deportivas;AFDA0110;Acondicionamiento físico en grupo con soporte musical;3;UC0515_3;Diseñar y ejecutar coreografías con los elementos propios del aeróbic, sus variantes y actividades afines
Actividades Físicas y Deportivas;AFDA0110;Acondicionamiento físico en grupo con soporte musical;3;UC0516_3;Programar y dirigir  actividades de acondicionamiento físico en grupo con soporte musical (AFGSM)
Actividades Físicas y Deportivas;AFDA0110;Acondicionamiento físico en grupo con soporte musical;3;UC0516_3;Programar y dirigir  actividades de acondicionamiento físico en grupo con soporte musical (AFGSM)
Actividades Físicas y Deportivas;AFDA0110;Acondicionamiento físico en grupo con soporte musical;3;UC0516_3;Programar y dirigir  actividades de acondicionamiento físico en grupo con soporte musical (AFGSM)
Actividades Físicas y Deportivas;AFDA0111;Fitness acuático e hidrocinesia;3;UC0272_2;ASISTIR COMO PRIMER INTERVINIENTE EN CASO DE ACCIDENTE O SITUACIÓN DE EMERGENCIA
Actividades Físicas y Deportivas;AFDA0111;Fitness acuático e hidrocinesia;3;UC0273_3;DETERMINAR LA CONDICIÓN FÍSICA, BIOLÓGICA Y MOTIVACIONAL DEL USUARIO
Actividades Físicas y Deportivas;AFDA0111;Fitness acuático e hidrocinesia;3;UC0273_3;DETERMINAR LA CONDICIÓN FÍSICA, BIOLÓGICA Y MOTIVACIONAL DEL USUARIO
Actividades Físicas y Deportivas;AFDA0111;Fitness acuático e hidrocinesia;3;UC1663_3;Diseñar y ejecutar habilidades y secuencias de fitness acuático
Actividades Físicas y Deportivas;AFDA0111;Fitness acuático e hidrocinesia;3;UC1663_3;Diseñar y ejecutar habilidades y secuencias de fitness acuático
Actividades Físicas y Deportivas;AFDA0111;Fitness acuático e hidrocinesia;3;UC1664_3;Programar, dirigir y dinamizar actividades de fitness acuático
Actividades Físicas y Deportivas;AFDA0111;Fitness acuático e hidrocinesia;3;UC1664_3;Programar, dirigir y dinamizar actividades de fitness acuático
Actividades Físicas y Deportivas;AFDA0111;Fitness acuático e hidrocinesia;3;UC1664_3;Programar, dirigir y dinamizar actividades de fitness acuático
Actividades Físicas y Deportivas;AFDA0111;Fitness acuático e hidrocinesia;3;UC1665_3;Elaborar y aplicar protocolos de hidrocinesia
Actividades Físicas y Deportivas;AFDA0111;Fitness acuático e hidrocinesia;3;UC1665_3;Elaborar y aplicar protocolos de hidrocinesia
Actividades Físicas y Deportivas;AFDA0210;Acondicionamiento físico en sala de entrenamiento polivalente;3;UC0272_2;ASISTIR COMO PRIMER INTERVINIENTE EN CASO DE ACCIDENTE O SITUACIÓN DE EMERGENCIA
